,District,CategoryOfGramPanchyat,manual,new_subdistrict,NameOfGramPanchyat.x,NameOfGramPanchyat.y,Subdistrict_Name_LGD,District_Name_LGD,dist,quality_auto,quality_manu
7895,ajmer,OBC (Woman),good,bhinay,badgaon,bargaon (surkhand),bhinay,ajmer,0.26984127,bad,good
8103,ajmer,General (Woman),bad,nawa,badkhochra,bar kochara,beawar,ajmer,0.261742424,bad,good
7894,ajmer,General,bad,ajmer,dumada,doomara,ajmer,ajmer,0.253968254,bad,good
10064,ajmer,General (Woman),bad,nawa,nundrimedratan,noondri mahindratan,beawar,ajmer,0.23987051,bad,good
10786,ajmer,SC,bad,nawa,thikrana mahendratan,theekrana mendratan,beawar,ajmer,0.222342621,bad,good
4800,ajmer,OBC,good,kishangarh,sinodiya,sinodiya,roopangarh,ajmer,0.222222222,bad,good
4798,ajmer,SC,bad,sarwar,kalyanpura,kalyanpura,tantoli,ajmer,0.221212121,bad,good
7893,ajmer,General (Woman),bad,ajmer,bhudol,bhoodol,ajmer,ajmer,0.217460317,bad,good
10526,ajmer,OBC,bad,nawa,satukheda,satoo khera,tatgarh,ajmer,0.195286195,bad,good
4797,ajmer,General (Woman),good,masuda,andheri devri,andhi deori,masuda,ajmer,0.190559441,bad,good
7892,ajmer,SC (Woman),good,masuda,devmgari (b),devmangri,masuda,ajmer,0.189814815,bad,good
7891,ajmer,SC,good,bhinay,kaneikalan,kanai kalan,bhinay,ajmer,0.186531987,bad,good
4796,ajmer,General,good,masuda,lodiyana,LODIYANA,vijaynagar,ajmer,0.180555556,bad,good
4795,ajmer,General (Woman),good,bhinay,sobari,SOBDI,bhinay,ajmer,0.177777778,bad,good
7884,ajmer,SC,good,bhinay,badali,barli,bhinay,ajmer,0.177777778,bad,good
7886,ajmer,SC,good,kekri,nayaki,naiki,kekri,ajmer,0.177777778,bad,good
9355,ajmer,General (Woman),bad,ajmer,kansas,kanas.,pushkar,ajmer,0.177777778,bad,good
7883,ajmer,OBC,good,bhinay,ekalsinha,ekalseenga,bhinay,ajmer,0.174074074,bad,good
8085,ajmer,General,bad,nawa,badakheda @ kherakalan,bada khera (khera kalan),tatgarh,ajmer,0.169191919,bad,good
7882,ajmer,OBC,good,masuda,begliyabas,begaliyawas,masuda,ajmer,0.168013468,bad,good
9261,ajmer,OBC,bad,nagaur,jilavada,jilawara,nasirabad,ajmer,0.166666667,bad,good
7881,ajmer,SC,bad,ajmer,rasulpura,rasoolpura,ajmer,ajmer,0.166203704,bad,good
8304,ajmer,OBC,bad,nawa,bhairukheda,bhairoo khera,beawar,ajmer,0.163170163,bad,good
7880,ajmer,SC (Woman),good,kishangarh,bandarsindri,bandar seendri,kishangarh,ajmer,0.15981241,bad,good
7879,ajmer,General (Woman),bad,ajmer,ardka,aradka,ajmer,ajmer,0.155555556,bad,good
7870,ajmer,OBC,good,peesangan,dantada,dantra,peesangan,ajmer,0.150793651,bad,good
7871,ajmer,General,bad,ajmer,badlya,barliya,ajmer,ajmer,0.150793651,bad,good
7872,ajmer,OBC,bad,ajmer,bhawata,bhanwta,ajmer,ajmer,0.150793651,bad,good
7874,ajmer,General,bad,ajmer,tabiji,tabeeji,ajmer,ajmer,0.150793651,bad,good
7875,ajmer,General (Woman),good,masuda,masuda,masooda,masuda,ajmer,0.150793651,bad,good
7876,ajmer,General,good,kekri,juniya,jooniya,kekri,ajmer,0.150793651,bad,good
7877,ajmer,SC,good,arain,dhasuk,dhasook,arain,ajmer,0.150793651,bad,good
7878,ajmer,General (Woman),good,sawar,piplaj,peeplaj,sawar,ajmer,0.150793651,bad,good
8295,ajmer,General (Woman),good,kishangarh,bhadun,bhadoon,roopangarh,ajmer,0.150793651,bad,good
8493,ajmer,General,good,kishangarh,buharu,buharoo,roopangarh,ajmer,0.150793651,bad,good
7977,ajmer,General,bad,nawa,aasan,asan,beawar,ajmer,0.15,bad,good
9167,ajmer,General (Woman),bad,nawa,jaliya first,jaliya ii,vijaynagar,ajmer,0.148148148,bad,good
7796,ajmer,General,good,sawar,mehrunkalan,mehroo kalan,sawar,ajmer,0.143939394,good,good
7812,ajmer,General (Woman),good,bhinay,padliya,padaliya,bhinay,ajmer,0.136904762,good,good
10698,ajmer,OBC (Woman),bad,nawa,surdiya,suradiya,beawar,ajmer,0.136904762,bad,good
8152,ajmer,OBC (Woman),bad,nawa,balad,balar,beawar,ajmer,0.133333333,bad,good
7574,ajmer,SC (Woman),bad,sarwar,arwad,arwar,sarwar,ajmer,0.133333333,good,good
7687,ajmer,General,bad,ajmer,gegel,gegal,ajmer,ajmer,0.133333333,good,good
7786,ajmer,General (Woman),good,peesangan,leedi,leeri,peesangan,ajmer,0.133333333,good,good
7869,ajmer,SC,good,masuda,uttami (b),uttami,masuda,ajmer,0.133333333,good,good
7770,ajmer,OBC (Woman),good,peesangan,kesarpura-mevadia,kesarpura mewariya,peesangan,ajmer,0.132897603,good,good
7694,ajmer,OBC (Woman),bad,ajmer,ghughra,ghooghra,ajmer,ajmer,0.130952381,good,good
7726,ajmer,SC (Woman),bad,ajmer,hatundi,hatoondi,ajmer,ajmer,0.130952381,good,good
7761,ajmer,General (Woman),good,arain,katsura,katsoora,arain,ajmer,0.130952381,good,good
8665,ajmer,General,bad,nagaur,derathu,derathoo,nasirabad,ajmer,0.130952381,bad,good
10593,ajmer,OBC,good,masuda,shivpuraghata (b),shivpura ghata,vijaynagar,ajmer,0.130252101,bad,good
7623,ajmer,SC,good,peesangan,bidkchiyawas,bidkachiyawas,peesangan,ajmer,0.122863248,good,good
10063,ajmer,General (Woman),bad,nawa,nundri maldev,noondri maldeo,beawar,ajmer,0.122710623,bad,good
7578,ajmer,ST (Woman),good,sawar,bajata,bajta,sawar,ajmer,0.122222222,good,good
7703,ajmer,General,bad,sarwar,goyala,goyla,sarwar,ajmer,0.122222222,good,good
7780,ajmer,SC,good,kekri,kohda,kohada,kekri,ajmer,0.122222222,good,good
7791,ajmer,General,good,peesangan,mangliyawas,mangaliyawas,peesangan,ajmer,0.118686869,good,good
7601,ajmer,General (Woman),good,peesangan,bhatsuri,bhatsoori,peesangan,ajmer,0.115740741,good,good
7712,ajmer,General (Woman),good,masuda,hanutiya,hanootiya,masuda,ajmer,0.115740741,good,good
8687,ajmer,General (Woman),bad,ajmer,devnagar,deo nagar,pushkar,ajmer,0.115740741,bad,good
9823,ajmer,ST,bad,nagaur,mawashiya,maoshiya,nasirabad,ajmer,0.115740741,bad,good
7676,ajmer,OBC (Woman),bad,ajmer,dourai,daurai,ajmer,ajmer,0.111111111,good,good
7632,ajmer,SC (Woman),good,bhinay,chachundra,chhachhundra,bhinay,ajmer,0.105555556,good,good
8775,ajmer,General (Woman),good,sawar,dhundhari,dhoondhari,kekri,ajmer,0.103703704,bad,good
7777,ajmer,OBC,good,masuda,kheempura (b),kheempura,masuda,ajmer,0.102564103,good,good
10592,ajmer,SC,good,masuda,shivnagar (b),shivnagar,vijaynagar,ajmer,0.102564103,bad,good
7826,ajmer,OBC,bad,ajmer,ramneradhani,ramner dhani,ajmer,ajmer,0.101010101,good,good
7575,ajmer,General,bad,ajmer,babaycha,babayacha,ajmer,ajmer,0.099537037,good,good
7855,ajmer,General,good,masuda,shikhrani,sikhrani,masuda,ajmer,0.099537037,good,good
9066,ajmer,General (Woman),good,kishangarh,harmada,harmara,roopangarh,ajmer,0.095238095,good,good
